title,price,area,location,scraped_date,published_date,description,bedrooms,bathrooms
Cần bán gấp căn biệt thự An Vượng Villa. Hướng Đông Nam. Không lỗi phong thủy. LH 0983 983 ***,39 tỷ,180 m²,"Dương Nội, Hà Đông",,,,,
"Bán chung cư Grand Sunlake Văn Quán [ 112m2 ] và [ 70m2 ] - View Hồ Văn Quán, Sổ đỏ lâu dài.",Giá thỏa thuận,112 m²,"Văn Quán, Hà Đông",,,,,
"Bán biệt thự Nam Cường 144tr/m2 đường 17,5m + phía sau vườn hoa 10m - giá đã bao gồm xây thô",36 tỷ,250 m²,"Yên Nghĩa, Hà Đông",17/01/2026,,,,
"Bán đất Ngô Quyền Hà Đông, 32m2, mặt tiền 4.5m, ngõ rộng 3m, 10m ra đường ô tô, chỉ 6.15 tỉ","6,1 tỷ",32 m²,"Quang Trung, Hà Đông",,,,,
Mở bán căn hộ An Bình Homeland em có 10 suất ngoại giao giá ưu đãi. Căn hộ 2PN thiét kế đẹp,Giá thỏa thuận,77 m²,"Dương Nội, Hà Đông",,,,,
"Chính chủ bán căn hộ CT4B khu đô thị mới Xa La, 2 phòng ngủ, tầng thấp, pháp lý rõ ràng","2,7 tỷ","51,7 m²","Phúc La, Hà Đông",,,,,
"Cập Nhật Giá Bán Và Quỹ Hàng Mới Nhất Biệt Thự An Khang Villas, KĐT Nam Cường. 0914 102 ***",42 tỷ,200 m²,"La Khê, Hà Đông",,,,,
"Cập Nhật Quỹ Hàng Cắt Lỗ Sâu Nhất Biệt Thự An Vượng Villas, Nam Cường. Gần Hồ Công Viên. 0914 102 ***",38 tỷ,180 m²,"Dương Nội, Hà Đông",,,,,
Cập Nhật Mới Nhất Quỹ Căn Cắt Lỗ Sâu Biệt Thự An Phú Shopvillas KĐT Nam Cường. Gần AEON. 0985 242 ***,39 tỷ,"202,5 m²","Dương Nội, Hà Đông",,,,,
"Cập Nhật Quỹ Hàng Chuyển Nhượng Cắt Lỗ Sâu Nhất Biệt Thự An Quý Villas, KĐT Nam Cường. 0914 102 ***",39 tỷ,198 m²,"Dương Nội, Hà Đông",,,,,
"Chỉ với 8,6 tỷ cơ hội sở hữu ngay căn hộ 3 phòng ngủ tại Mulberry Lane LH ngay","8,6 tỷ","·116,3 m²","Mỗ Lao, Hà Đông",17/01/2026,,,,
"Bán gấp CC 3PN 2WC tại CT5 Văn Khê, 6,8 tỷ, 110.8m2, Hà Đông, HN","6,8 tỷ","·110,8 m²","La Khê, Hà Đông",17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
,,,,17/01/2026,,,,
"CĂN HỘ CHUNG CƯ THÁP A NEW SKYLINE VĂN QUÁN 125M , FULL NỘI THẤT","11,5 tỷ",125 m²,"Văn Quán, Hà Đông",,,,,
"Chốt nhanh 4.3tỷ với căn 60m2 tại FLC Quang Trung, giá thấp nhất hiện tại",Giá thỏa thuận,60 m²,"Quang Trung, Hà Đông",,,,,
Phòng bán hàng: Chuyên phân phối Shophouse - The Charm và biệt thự khu An Hưng,Giá thỏa thuận,"82,5 m²","La Khê, Hà Đông",,,,,
"Tôi chính chủ,bán nhà 6 tầng,có thang máy,Đầu Ngõ 181,Trần Phú,Văn Quán,Hà Đông.","11,3 tỷ",58 m²,"Văn Quán, Hà Đông",,,,,
"Bán nhà liền kề Him Lam Vạn Phúc, Hà Đông trục chính kinh doanh giá tốt nhất","36,8 tỷ",98 m²,"Vạn Phúc, Hà Đông",16/01/2026,,,,
"Nhà mới đón Tết, DT 32m2 5T 3PN, DTSD 160m2, cạnh KĐT Gleximco, gần Aeon HĐ. Giá chỉ 5.35 tỷ, CTL","5,35 tỷ",32 m²,"Dương Nội, Hà Đông",,,,,
"Biệt thự Hyundai đối diện chung cư 170m2 4 tầng, kinh doanh đỉnh sổ vĩnh viễn",69 tỷ,170 m²,"Hà Cầu, Hà Đông",16/01/2026,,,,
"Tổng hợp quỹ căn liền kề, biệt thự KĐT Văn Phú, Hà Đông, pháp lý rõ ràng, giá tốt, LH 0865 731 ***","18,5 tỷ",90 m²,"Phú La, Hà Đông",16/01/2026,,,,
Cần bán gấp căn biệt thự Dương Nội - biệt thự An Vượng Villa - tập đoàn Nam Cường 0989 325 ***,35 tỷ,180 m²,"Dương Nội, Hà Đông",16/01/2026,,,,
Bán 2 căn nhà vườn C24 và C25 mặt đường 20m khu C Geleximco Lê Trọng Tấn,Giá thỏa thuận,200 m²,"Dương Nội, Hà Đông",16/01/2026,,,,
CĐT trực tiếp mở bán quỹ căn cuối cùng Grand Sunlake Văn Quán,"5,3 tỷ",92 m²,"Văn Quán, Hà Đông",,,,,
"Chính chủ bán căn 3 phòng ngủ A1x-05, tầng trung đẹp, giá nhỉnh 9 tỉ!",9 tỷ,96 m²,"La Khê, Hà Đông",16/01/2026,,,,
